date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,playback_location_type,traffic_source_type,device_type,operating_system,views,engaged_views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20260614,UCN1-TUxX_2UumGm3OKpmncg,xZQmj0i14oc,on_demand,not_subscribed,US,0,3,104,5,1,1,0.33533333333333332,20.12,1.9706170421155729,0,0
20260614,UCN1-TUxX_2UumGm3OKpmncg,-qhJIwZz_tM,on_demand,subscribed,MY,0,7,101,2,1,1,0.69331666666666669,41.599,4.2534764826175868,0,0
20260614,UCN1-TUxX_2UumGm3OKpmncg,x5O8-0h9aH4,on_demand,not_subscribed,US,0,8,102,26,1,1,17.566016666666666,1053.961,99.996299810246683,0,0
20260614,UCN1-TUxX_2UumGm3OKpmncg,7_gERg0afq4,on_demand,not_subscribed,IN,0,7,102,4,1,1,0.0708,4.248,0.389010989010989,0,0
20260614,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,on_demand,not_subscribed,SE,0,7,101,2,1,1,0.1628,9.768,0.99571865443425078,1,0.1628
20260614,UCN1-TUxX_2UumGm3OKpmncg,7_gERg0afq4,on_demand,not_subscribed,DK,7,3,104,4,1,1,0.47666666666666668,28.6,2.6190476190476191,0,0
20260614,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,on_demand,not_subscribed,SA,0,0,101,9,1,1,0,0,0,0,0
20260614,UCN1-TUxX_2UumGm3OKpmncg,xZQmj0i14oc,on_demand,not_subscribed,JP,0,18,104,5,2,2,1.9171666666666667,57.515,5.6332027424094022,2,1.9171666666666667
20260614,UCN1-TUxX_2UumGm3OKpmncg,7_gERg0afq4,on_demand,not_subscribed,US,0,7,102,1,1,1,9.9900166666666674,599.401,54.890201465201464,0,0
20260614,UCN1-TUxX_2UumGm3OKpmncg,-qhJIwZz_tM,on_demand,not_subscribed,US,0,7,105,4,2,2,3.6203666666666665,108.611,11.105419222903885,0,0
20260614,UCN1-TUxX_2UumGm3OKpmncg,7_gERg0afq4,on_demand,not_subscribed,GB,0,7,104,5,1,1,1.111,66.66,6.104395604395604,0,0
20260614,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,on_demand,not_subscribed,PH,0,7,104,4,1,1,3.1916666666666669,191.5,19.520897043832825,0,0
20260614,UCN1-TUxX_2UumGm3OKpmncg,xZQmj0i14oc,on_demand,not_subscribed,JP,0,14,104,5,1,1,0.6155,36.93,3.6170421155729677,1,0.6155
20260614,UCN1-TUxX_2UumGm3OKpmncg,ybQBCcJMrgo,on_demand,not_subscribed,NL,0,7,104,4,1,1,0.51505,30.903,3.4374860956618467,0,0
20260614,UCN1-TUxX_2UumGm3OKpmncg,TemJZxs-Dm4,on_demand,subscribed,MY,0,7,101,2,2,2,1.0841166666666666,32.5235,3.2106120434353405,0,0
20260614,UCN1-TUxX_2UumGm3OKpmncg,7_gERg0afq4,on_demand,subscribed,MY,0,7,101,2,2,2,0.52766666666666662,15.83,1.4496336996336996,0,0
20260614,UCN1-TUxX_2UumGm3OKpmncg,-qhJIwZz_tM,on_demand,not_subscribed,PH,0,7,104,4,2,2,2.96,88.8,9.0797546012269947,0,0
20260614,UCN1-TUxX_2UumGm3OKpmncg,7_gERg0afq4,on_demand,not_subscribed,CA,0,3,104,5,1,1,18.185666666666666,1091.14,99.921245421245416,0,0
20260614,UCN1-TUxX_2UumGm3OKpmncg,2tO6djVL0q8,on_demand,not_subscribed,US,0,14,102,26,1,1,0.28058333333333335,16.835,2.3512569832402233,0,0
20260614,UCN1-TUxX_2UumGm3OKpmncg,dnq70SeCiBY,on_demand,not_subscribed,PH,0,3,104,4,1,1,15.7,942,100,0,0
20260614,UCN1-TUxX_2UumGm3OKpmncg,TemJZxs-Dm4,on_demand,not_subscribed,US,0,7,104,4,1,1,1.715,102.9,10.157946692991116,0,0
